Energy,SigmaMax_h1h1,SigmaMax_h1h2,SigmaMax_h2h2,Ratio_h1h2_over_h1h1,Ratio_h2h2_over_h1h1
500GeV,0.9557700527,0.03623570077,9.730684247891705e-06,0.03791257182377294,1.018098884810529e-05
1000GeV,4.6094380828,0.76503842951,0.17532222594,0.16597216748929144,0.03803548779496798
1500GeV,7.97931772787,1.80483145398,0.70174851093,0.2261886937621397,0.08794592907097144
