0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000559	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.007871	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.038556	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.116200	0.000239	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.270490	0.001518	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.537180	0.004494	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.937820	0.009984	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	1.503500	0.018803	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	2.266100	0.031057	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	3.257300	0.049005	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	4.525800	0.073350	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	6.142400	0.109330	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	8.244200	0.172570	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	11.475000	0.351830	0.000000	0.000000	0.000000
